Question/Answer,Correct Answer
"1
  All of the following are basic components of a security policy EXCEPT the <br></br>A. definition of the issue and statement of relevant terms. <br></br>B.statement of roles and responsibilities <br></br>C. statement of applicability and compliance requirements. <br></br>D. statement of performance of characteristics and requirements. 
<br></br>","Answer: D Policies are considered the first and highest level of documentation, from which the lower levelelements of standards, procedures, and guidelines flow. This order, however, does not mean thatpolicies are more important than the lower elements. These higher-level policies, which are the moregeneral policies and statements, should be created first in the process for strategic reasons, and thenthe more tactical elements can follow. -Ronald Krutz The CISSP PREP Guide (gold edition) pg 13 "
"2
  A security policy would include all of the following EXCEPT <br></br>A. Background <br></br>B. Scope statement  <br></br>C. Audit requirements <br></br>D. Enforcement 
<br></br>",Answer: B 
"3
  Which one of the following is an important characteristic of an information security policy? <br></br>A. Identifies major functional areas of information. <br></br>B. Quantifies the effect of the loss of the information. <br></br>C. Requires the identification of information owners. <br></br>D. Lists applications that support the business function. 
<br></br>","Answer: A Information security policies area high-level plans that describe the goals of the procedures.Policies are not guidelines or standards, nor are they procedures or controls. Policies describesecurity in general terms, not specifics. They provide the blueprints for an overall securityprogram just as a specification defines your next product - Roberta Bragg CISSP CertificationTraining Guide (que) pg 206 CISSP"
"4
  Ensuring the integrity of business information is the PRIMARY concern of <br></br>A. Encryption Security <br></br>B. Procedural Security. <br></br>C. Logical Security <br></br>D. On-line Security 
<br></br>","Answer: B Procedures are looked at as the lowest level in the policy chain because they are closest to thecomputers and provide detailed steps for configuration and installation issues. They provide thesteps to actually implement the statements in the policies, standards, and guidelines...Securityprocedures, standards, measures, practices, and policies cover a number of different subjectareas. - Shon Harris All-in-one CISSP Certification Guide pg 44-45 "
"5
  Which of the following would be the first step in establishing an information securityprogram? <br></br>A.) Adoption of a corporate information security policy statement <br></br>B.) Development and implementation of an information security standards manual <br></br>C.) Development of a security awareness-training program <br></br>D.) Purchase of security access control software 
<br></br>",Answer: A 
"6
  Which of the following department managers would be best suited to oversee thedevelopment of an information security policy? <br></br>A.) Information Systems <br></br>B.) Human Resources <br></br>C.) Business operations <br></br>D.) Security administration 
<br></br>",Answer: C 
"7
  What is the function of a corporate information security policy? <br></br>A. Issue corporate standard to be used when addressing specific security problems. <br></br>B. Issue guidelines in selecting equipment, configuration, design, and secure operations. <br></br>C. Define the specific assets to be protected and identify the specific tasks which must be completed to secure CISSPthem. <br></br>D. Define the main security objectives which must be achieved and the security framework to meet businessobjectives. 
<br></br>","Answer: D Information security policies are high-level plans that describe the goals of the procedures orcontrols. Policies describe security in general, not specifics. They provide the blueprint fro anoverall security program just as a specification defines your next product. - Roberta Bragg CISSPCertification Training Guide (que) pg 587 "
"8
  Why must senior management endorse a security policy? <br></br>A. So that they will accept ownership for security within the organization. <br></br>B. So that employees will follow the policy directives. <br></br>C. So that external bodies will recognize the organizations commitment to security. <br></br>D.So that they can be held legally accountable. 
<br></br>","Answer: A This really does not a reference as it should be known. Upper management is legally accountable (up to 290million fine). External organizations answer is not really to pertinent (however it stated that other organizations willrespect a BCP and disaster recover plan). Employees need to be bound to the policy regardless of who signs it but itgives validity. Ownership is the correct answer in this statement. However, here is a reference. ""Fundamentallyimportant to any security program's success us the senior management's high-level statement of commitment to theinformation security policy process and a senior management's understanding of how important securitycontrols and protections are to the enterprise's continuity. Senior management must be aware of the importance ofsecurity implementation to preserve the organization's viability (and for their own 'due care' protection) and mustpublicly support that process throughout the enterprise."" -Ronald Krutz The CISSP PREP Guide (gold edition) pg 13 "
"9
  In which one of the following documents is the assignment of individual roles andresponsibilities MOST appropriately defined? <br></br>A. Security policy <br></br>B. Enforcement guidelines <br></br>C. Acceptable use policy  CISSP<br></br>D. Program manual 
<br></br>","Answer: C An acceptable use policy is a document that the employee signs in which the expectations, rolesand responsibilities are outlined. Issue -specific policies address specific security issues that management feels need more detailedexplanation and attention to make sure a comprehensive structure is built and all employeesunderstand how they are to comply to these security issues. - Shon Harris All-in-one CISSPCertification Guide pg 62 "
"10
  Which of the following defines the intent of a system security policy? <br></br>A. A definition of the particular settings that have been determined to provide optimum security. <br></br>B. A brief, high-level statement defining what is and is not permitted during the operation of the system. <br></br>C. A definition of those items that must be excluded on the system. <br></br>D. A listing of tools and applications that will be used to protect the system. 
<br></br>","Answer: A ""A system-specific policy presents the management's decisions that are closer to the actual computers,networks, applications, and data. This type of policy can provide an approved software list, which contains a list ofapplications that can be installed on individual workstations. This policy can describe how databases are to beprotected, how computers are to be locked down, and how firewall, intrusion diction systems, and scanners areto be employed."" Pg 93 Shon Harris CISSP All-In-One Certification Exam Guide "
